品目,品番,商品名,車両メーカー,代表型式,代表車名,純正品番,Uzone品番_純正品番,本体福原加工,クラッチ福原加工,本体,クラッチ,仕切り,保証期間,備考,付属品,注意事項１,注意事項２,在庫フラグ（0：在庫あり、1：要確認）,部品ID1,部品ID2,特徴1,特徴2,特徴3,特徴4,特徴5,特徴6,特徴7,特徴8,特徴9,特徴10
オルタネーター,A007TA3191R,スズキオルタ(G) IC 12/45,ｽｽﾞｷ,DA62T,ｷｬﾘｰ,3140065H00,,,,,,22100,2年4万km保証,MAXタイプ,,,,1,,,,,,,,,,,,
オルタネーター,A007TA3191BR,スズキオルタ(G) IC 12/45,ｽｽﾞｷ,GF-DA32W,ｴﾌﾞﾘｨ･ﾌﾟﾗｽ,3140065H02,50028663,,,,,22100,2年4万km保証,MAXタイプ,,,,1,319.0,,,,,,,,,,,
オルタネーター,A001TA3591AR-S,スズキオルタ(G)　IC 12/60,ｽｽﾞｷ,DA62T,ｷｬﾘｰ,3140065H11,50028664,,,,,16400,1年2万km保証,シルバータイプ,,,,1,319.0,,,,,,,,,,,
オルタネーター,A001TA3591AR,スズキオルタ(G)　IC 12/60,ｽｽﾞｷ,DA62T,ｷｬﾘｰ,3140065H11,50028664,,,,,20600,2年4万km保証,MAXタイプ,,,,1,319.0,,,,,,,,,,,
オルタネーター,A001TA3592AR,スズキオルタネーター(G) I.C 12/60,ｽｽﾞｷ,EBD-DA63T,ｷｬﾘｰ,3140065H30,50028666,,,,,20550,2年4万km保証,MAXタイプ,,,,1,319.0,,,,,,,,,,,
オルタネーター,A005TG0291R,スズキオルタ(G）IC 12/80,ｽｽﾞｷ,E-TA11W,ｴｽｸ-ﾄﾞ,3140065J10,50028667,,,,,23500,2年4万km保証,MAXタイプ,,,,1,319.0,,,,,,,,,,,
オルタネーター,A005TA3891R,スズキオルタネーター(G) IC 12/60,ｽｽﾞｷ,E-GC41W,ｶﾙﾀｽ,3140066D01,,,,,,22100,2年4万km保証,MAXタイプ,,,,1,,,,,,,,,,,,
オルタネーター,A001TA4091R,スズキオルタ(G)　IC 12/60,ｽｽﾞｷ,DA64V,ｴﾌﾞﾘｨ,3140068H00,50028673,,,,,18800,2年4万km保証,MAXタイプ,,,,0,319.0,,,,,,,,,,,
オルタネーター,A001TA4491R,スズキオルタ(G)　IC 12/60,ｽｽﾞｷ,DA64V,ｷｬﾘｨ･ｴﾌﾞﾘｨ,3140068H10,50028675,,,,,14900,2年4万km保証,MAXタイプ,,,,1,319.0,,,,,,,,,,,
オルタネーター,100211-676R,スズキオルタ(G) I.C 12/45,ｽｽﾞｷ,GD-DA52V,ｴﾌﾞﾘｨ,3140070B10,,,,,,16400,2年4万km保証,MAXタイプ,,,,1,,,,,,,,,,,,
オルタネーター,100211-677R,スズキオルタ(G) I.C 12/45,ｽｽﾞｷ,M-DA71B,ｷｬﾘｨ･ｴﾌﾞﾘｨ,3140070B20,50028678,,,,,16400,2年4万km保証,MAXタイプ,,,,1,319.0,,,,,,,,,,,
オルタネーター,A007T00771R,スズキオルタ(G) I.C 12/50,ｽｽﾞｷ,GH-HT51S,ｽｲﾌﾄ,3140070B40,,,,,,22100,2年4万km保証,MAXタイプ,,,,1,,,,,,,,,,,,
オルタネーター,A007T01174R,スズキオルタ(G) I.C 12/50,ｽｽﾞｷ,ABA-RA21S,ｷｬﾘｨ･ｴﾌﾞﾘｨ,3140070D00,,,,,,22100,2年4万km保証,MAXタイプ,,,,1,,,,,,,,,,,,
オルタネーター,A007T01374R,スズキオルタ(G) IC 12/45,ｽｽﾞｷ,DBA-YA11S,SX4,3140070D10,,,,,,22100,2年4万km保証,MAXタイプ,,,,1,,,,,,,,,,,,
オルタネーター,A007T02874R,スズキオルタ(G) IC 12/45,ｽｽﾞｷ,GF-JB23W,ｼﾞﾑﾆｰ,3140070D11,,,,,,22100,2年4万km保証,MAXタイプ,,,,1,,,,,,,,,,,,
オルタネーター,A001T04495R,スズキオルタ(G) I.C 12/55,ｽｽﾞｷ,E-AA53S,ｶﾙﾀｽ,3140071C31,,,,,,16400,2年4万km保証,MAXタイプ,,,,1,,,,,,,,,,,,
オルタネーター,A005T07191R,スズキオルタ(G) IC 12/55,ｽｽﾞｷ,M-JA11C,ｼﾞﾑﾆｰ,3140071C32,50028679,,,,,16400,2年4万km保証,MAXタイプ,,,,1,319.0,,,,,,,,,,,
オルタネーター,101211-212R,オルタネーター(G) IC 12/55,ｽｽﾞｷ,EBD-DA16T,ｷｬﾘｰ,3140071C50,50028680,,,,,16400,2年4万km保証,MAXタイプ,,,,1,319.0,,,,,,,,,,,
オルタネーター,A005TG1991R-S1,オルタネーター(G)　I.C　12/80　スズキ,ｽｽﾞｷ,MA15S,ｿﾘｵ,3140071L00,50028681,,,,,13800,1年2万km保証,シルバータイプ,,,,1,319.0,,,,,,,,,,,
オルタネーター,A005TG1991R,スズキオルタ(G）IC 12/80,ｽｽﾞｷ,MA15S,ｿﾘｵ,3140071L01,50028682,,,,,23500,2年4万km保証,MAXタイプ,,,,1,319.0,,,,,,,,,,,
オルタネーター,A005TG2591R,スズキオルタ(G）IC 12/80,ｽｽﾞｷ,ZC32S,ｽｲﾌﾄ,3140071L03,50028684,,,,,23500,2年4万km保証,MAXタイプ,,,,1,319.0,,,,,,,,,,,
オルタネーター,104211-327R,オルタネーター (G) I.C 12/120,ｽｽﾞｷ,MK32S,ｽﾍﾟｰｼｱ,3140072M01,50028686,,,,,20000,2年4万km保証,MAXタイプ,,,,1,319.0,,,,,,,,,,,
オルタネーター,A007T00271R,スズキオルタ(G) I.C 12/45,ｽｽﾞｷ,TA-JB23W,ｼﾞﾑﾆｰ,3140073A10,,,,,,22100,2年4万km保証,MAXタイプ,,,,1,,,,,,,,,,,,
オルタネーター,101211-263R,スズキオルタ(G) I.C 12/55,ｽｽﾞｷ,M-DA41V,ｷｬﾘｰ,3140073G00,,,,,,16400,2年4万km保証,MAXタイプ,,,,1,,,,,,,,,,,,
