品番,グレード,仕様,本体番号,レベライザー,AFS,見た目,,備考
81110-47641   ,S,ハロゲン,47-64, ,,,, 
81150-47641   ,S,ハロゲン,47-64, ,,,, 
81110-47810   ,S,ハロゲン,47-64, ,,,,Ｓ“ｔｕｎｅ ＢＬＡＣＫ Ⅱ”＊（Ａ）＆クルーズコントロール－有り（ミリ波レーダー式）＆ハロゲン ＆ ＊ＡＨＢ
81150-47810   ,S,ハロゲン,47-64, ,,,,Ｓ“ｔｕｎｅ ＢＬＡＣＫ Ⅱ”＊（Ａ）＆クルーズコントロール－有り（ミリ波レーダー式）＆ハロゲン ＆ ＊ＡＨＢ
81110-76170   , ,LED,, ,,,,ＬＥＤ
81150-76170   , ,LED,, ,,,,ＬＥＤ
81110-76092   ,B,ハロゲン,May-76, ,,,, 
81150-76092   ,B,ハロゲン,May-76, ,,,, 
81110-76180   ,B,LED, , ,,,, 
81150-76180   ,B,LED, , ,,,, 
81110-76181   ,B,LED, , ,,,, 
81150-76181   ,B,LED, , ,,,, 
81110-53250   , ,HID,53-33, ,,,,ヘルプネット無し
81150-53250   , ,HID,53-33, ,,,,ヘルプネット無し
81110-53360   , ,ハロゲン, , ,,,,ハロゲン
81150-53360   , ,ハロゲン, , ,,,,ハロゲン
81110-53490   , ,HID, , ,,,, 
81150-53490   , ,HID, , ,,,, 
81110-53491   , ,HID, , ,,,, 
81150-53491   , ,HID, , ,,,, 
81110-53492   , ,HID, , ,,,, 
81150-53492   , ,HID, , ,,,, 
81110-53493   , ,HID, , ,,,, 
81150-53493   , ,HID, , ,,,, 
81110-53450   , ,HID, , ,,,, 
81150-53450   , ,HID, , ,,,, 
81110-53590   , ,HID, , ,,,, 
81150-53590   , ,HID, , ,,,, 
81110-53591   , ,HID, , ,,,, 
81150-53591   , ,HID, , ,,,, 
81110-53592   , ,HID, , ,,,, 
81150-53592   , ,HID, , ,,,, 
81110-53593   , ,HID, , ,,,, 
81150-53593   , ,HID, , ,,,, 
81110-53494   , ,HID, , ,,,,Ｆ ＳＰＯＲＴ
81110-53594   , ,HID, , ,,,, 
81150-53494   , ,HID, , ,,,,Ｆ ＳＰＯＲＴ
81150-53594   , ,HID, , ,,,, 
SU003-02499   ,RC&RCG,ハロゲン,100-60085, ,,,, 
SU003-02500   ,RC&RCG,ハロゲン,100-60085, ,,,, 
SU003-02505   ,GT,HID,100-60082, ,,,, 
SU003-02506   ,GT,HID,100-60082, ,,,, 
81110-WY020   ,CB, , , ,,,,ｓｔｙｌｅ Ｃｂ
81150-WY020   ,CB, , , ,,,,ｓｔｙｌｅ Ｃｂ
SU003-06971   , ,LED,100-60345, ,,,, 
SU003-06972   , ,LED,100-60345, ,,,, 
81110-2B880   , ,HID,20-427, ,,,,ｱﾘ(ﾃﾞｲｽﾁﾔ-ｼﾞ)
81110-2D010   , ,HID,20-423, ,,,,ｱﾘ(ﾃﾞｲｽﾁﾔ-ｼﾞ)
81150-2B840   , ,HID,20-427, ,,,プレミオ用,ｱﾘ(ﾃﾞｲｽﾁﾔ-ｼﾞ)
81150-2B860   , ,HID, , ,,,アリオン用,ｱﾘ(ﾃﾞｲｽﾁﾔ-ｼﾞ)
81110-20A40   , ,HID,20-427, ,,,ﾌﾟﾚﾐｱﾑ ｴﾃﾞｲｼﾖﾝ *(B),ﾌﾟﾚﾐｱﾑ ｴﾃﾞｲｼﾖﾝ *(B)
81150-20A40   , ,HID,20-427, ,,,ﾌﾟﾚﾐｱﾑ ｴﾃﾞｲｼﾖﾝ *(B),ﾌﾟﾚﾐｱﾑ ｴﾃﾞｲｼﾖﾝ *(B)
81110-20A00   , , , , ,,,プレミオ用, 
81110-20A10   , ,HID, , ,,,,ｱﾘ(ﾃﾞｲｽﾁﾔ-ｼﾞ)
81110-20A20   , ,ハロゲン,20-440, ,,,, 
81110-20A30   , ,HID,20-441, ,,,,ｱﾘ(ﾃﾞｲｽﾁﾔ-ｼﾞ)
81150-20A00   , ,ハロゲン,20-486, ,,,, 
81150-20A10   , ,HID,20-439, ,,,,ｱﾘ(ﾃﾞｲｽﾁﾔ-ｼﾞ)
81150-20A20   , ,ハロゲン,20-440, ,,,, 
81150-20A30   , ,HID,20-441, ,,,,ｱﾘ(ﾃﾞｲｽﾁﾔ-ｼﾞ)
81110-20A60   , ,ハロゲン,20-440, ,,,,ｱﾘ(ﾊﾛｹﾞﾝ)&Gﾊﾟﾂｹｰｼﾞ 60TH ｽﾍﾟｼｬﾙｴﾃﾞｨｼｮﾝ *(D)
81150-20A60   , ,ハロゲン,20-440, ,,,,ｱﾘ(ﾊﾛｹﾞﾝ)&Gﾊﾟﾂｹｰｼﾞ 60TH ｽﾍﾟｼｬﾙｴﾃﾞｨｼｮﾝ *(D)
81110-21150   ,GT4&ZT,HID,21-67, ,,,, 
81150-21150   ,GT4&ZT,HID,21-67, ,,,, 
81110-33410   ,24G,ハロゲン,33-64, ,,,, 
81110-33420   ,TOU,ハロゲン,33-64, ,,,, 
81150-33410   ,24G,ハロゲン,33-64, ,,,, 
81150-33420   ,TOU,ハロゲン,33-64, ,,,, 
81110-33500   ,24G,ハロゲン,33-89, ,,,, 
81110-33510   ,TOU,ハロゲン, , ,,,, 
81150-33400   ,24G,ハロゲン,33-89, ,,,, 
81150-33500   ,TOU,ハロゲン, , ,,,, 
81110-33A10   , , , , ,,,, 
81150-33A10   , , , , ,,,, 
81110-33E60   , , , , ,,,,“Ｇ ＰＡＣＫＡＧＥ ＰＲＥＭＩＵＭ ＢＬＡＣＫ”＊（Ａ）
81150-33E60   , , , , ,,,,“Ｇ ＰＡＣＫＡＧＥ ＰＲＥＭＩＵＭ ＢＬＡＣＫ”＊（Ａ）
81145-WAA02   , , , , ,,,, 
81145-WAA05   , ,LED, , ,,,,ＬＥＤ
81185-WAA02   , , , , ,,,, 
81185-WAA05   , ,LED, , ,,,,ＬＥＤ
81110-75161   , ,LED,75-15, ,,,, 
81150-75161   , ,LED,75-15, ,,,, 
81110-75120   ,G,LED,Jun-75, ,,,, 
81150-75120   ,G,LED,Jun-75, ,,,, 
81110-75010   ,S,HID,Apr-75, ,,,, 
81110-75020   ,S,HID,May-75, ,,,,ディスチャージ＆＊ＡＦＬＳ
81150-75010   ,S,HID,Apr-75, ,,,, 
81150-75020   ,S,HID,May-75, ,,,,ディスチャージ＆＊ＡＦＬＳ
81110-75121   ,G, , , ,,,, 
81150-75121   ,G, , , ,,,, 
