品目,品番,商品名,車両メーカー,代表型式,代表車名,純正品番,本体福原加工,クラッチ福原加工,本体,クラッチ,仕切り,保証期間,備考,付属品,注意事項１,注意事項２,在庫フラグ（0：在庫あり、1：要確認）
コンプレッサー,506011-9130R-T,ゼクセルコンプレッサー　DKS15CH,ﾏﾂﾀﾞ,SK22V,ﾎﾞﾝｺﾞ,S48C-61-450,S48C-61-450,,MQ902980,MQ905094,27300,2年4万km保証,純正部品にてリビルト,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,506011-9180R-S,ゼクセルコンプレッサー(DKS17CH),ﾏﾂﾀﾞ,SK56M,ﾎﾞﾝｺﾞ･ﾌﾞﾛｰﾆｨ,S46D-61-450A,S46D-61-450A,,,,27300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,506011-8620R-S,ゼクセルコンプレッサー(DKS17CH),,,,S38A61K00,S38A61K00,,S38A61K00,S09C61L10A,27300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,506011-8610R-S,ゼクセルコンプレッサー(DKS17CH),ﾏﾂﾀﾞ,E-SGE3F,ﾌﾘ-ﾀﾞ,S38A-61-450,S38A-61-450,,S38A61K00,S09A61L10B,27300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,506011-7930R-S,ゼクセルコンプレッサー(DKS17CH),ﾏﾂﾀﾞ,SD59T,ﾎﾞﾝｺﾞ,S31F-61-450B,S31F-61-450B,,,,27300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,クラッチ配線のカプラーは現車の物をご使用下さい。,,1
コンプレッサー,92600-HA00AR-M,ヴォレオコンプレッサー,ﾏﾂﾀﾞ,SKP2V,ﾎﾞﾝｺﾞ,S2V3-61-450,S2V3-61-450,,,,31300,2年4万km保証,純正サプライヤー製新品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,506012-1180R-T,ゼクセルコンプレッサー DKS17D,ﾏﾂﾀﾞ,SKF6V,ﾎﾞﾝｺﾞ･ﾌﾞﾛｰﾆｨ,S0N8-61-450,S0N8-61-450,,92610HA305,27632HA300,27300,2年4万km保証,純正部品にてリビルト,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,506012-1180R-M,ヴァレオコンプレッサー,ﾏﾂﾀﾞ,SKF6V,ﾎﾞﾝｺﾞ･ﾌﾞﾛｰﾆｨ,S0N8-61-450,S0N8-61-450,,92610HA305,27632HA300,28300,2年4万km保証,純正サプライヤー製新品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,506012-1180R-H1,ヴァレオコンプレッサー,ﾏﾂﾀﾞ,SKF2T,ﾎﾞﾝｺﾞ,S0N8-61-450,S0N8-61-450,,92610HA305,27632HA300,28300,2年4万km保証,純正部品にてリビルト,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,506011-6750R-S,ゼクセルコンプレッサー(DKS17CH),ﾏﾂﾀﾞ,SGLR,ﾎﾞﾝｺﾞ･ﾌﾚﾝﾃﾞｨ,S09A-61-450,S09A-61-450,,A0961K00,A0961K00,27300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,509618-2330R-S,ゼクセルコンプレッサー(DKS15G),ﾏﾂﾀﾞ,SD29T,ﾎﾞﾝｺﾞ･ﾌﾞﾛｰﾆｨ,S093-61-450A,S093-61-450A,,,,27300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,247100-493R,コンプレッサー/クラッチ(R) SV06E 12V,ﾏﾂﾀﾞ,PG6SA,AZ1,P100-61-450,P100-61-450,,1472006350,4473001890,28600,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,,1
コンプレッサー,NE51-61-450BR-S,カルソニックコンプレッサー(CR08),ﾏﾂﾀﾞ,NCEC,ﾛｰﾄﾞｽﾀｰ,NE51-61-450B,NE51-61-450B,,,,27300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,NE51-61-450BR-O,カルソニックコンプレッサー(CR08),ﾏﾂﾀﾞ,NCEC,ﾛｰﾄﾞｽﾀｰ,NE51-61-450B,NE51-61-450B,,,,33000,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,N243-61-450R-S,コンプレッサー (R),ﾏﾂﾀﾞ,ND5RC,ﾛｰﾄﾞｽﾀｰ,N243-61-450,N243-61-450,,,,29300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,447100-141R,コンプレッサー/クラッチ(R) SC08C 12V,ﾏﾂﾀﾞ,NB6C,ﾛｰﾄﾞｽﾀｰ,N053-61-450A,N053-61-450A,,442100022,447300761,47900,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,,1
コンプレッサー,447100-023R,スル-ベンコンプ/クラッチ TV12C 12V,ﾏﾂﾀﾞ,NA8C,ﾛｰﾄﾞｽﾀｰ,N026-61-450,N026-61-450,,4425002590,4473001950,28600,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,,1
コンプレッサー,147100-742R,コンプレッサ-/クラッチ 10P13F,ﾏﾂﾀﾞ,NA6CE,ﾛｰﾄﾞｽﾀｰ,N001-61-450B,N001-61-450B,,,,32400,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,,1
コンプレッサー,AKC200A560AR-S,三菱コンプレッサー(MSC105CA)クラッチ付,三菱,CBA-NA4W,ｸﾞﾗﾝﾃﾞｨｽ,MR958872,MR958872,7813A113,MR958872,7813A113,26800,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,447170-784R,コンプレッサー/クラッチ　(R)  10S17C  12V,,,,MR568288,MR568288,MR500874,4472203980,4473008660,34100,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,447170-804R,コンプレッサー/クラッチ　(R)　10S17C  12V,,,,MR568288,MR568288,MR568290,4472203980,2473000040,34100,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,AKC200A552R-S,三菱コンプレッサー(MSC105C) クラッチ付,,,,MR500333,MR500333,MR500334,MR500333,MR500334,26800,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,506021-4740R-S,ゼクセルコンプレッサー(DKV11G),,,,MR460310,MR460310,MR460311,MR460310,MR460311,27300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,AKC200A024AR-S,三菱コンプレッサー(MSC60CH) クラッチ付,三菱,U62T,ﾐﾆｷｬﾌﾞ,MR460141,MR460141,MR500384,,,21500,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,※冷凍車除く【冷凍車の場合はサンデン製ＳＤ　「モデル№７１７１」が装着される場合があります。現品の確認をお願い致します】,,0
コンプレッサー,AKC200A205GR-S,三菱コンプレッサー(MSC90C) クラッチ付,,,,MR460111,MR460111,MR500254,AKC006A225,AKC006A226A,26800,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,AKC200A204R-S,三菱コンプレッサー(MSC90C) クラッチ付,三菱,EC5W,ﾚｸﾞﾅﾑ,MR460111,MR460111,MR500261,MR460111,MR500261,26800,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,447100-126R,コンプレッサー/クラッチ(R)　SCS08C  12V,,,,MR398715,MR398715,MR398721,MR398715,MR398721,28600,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,447100-127R,コンプレッサー/クラッチ　(R)　SCS08C 12V,,,,MR398715,MR398715,MR398716,MR398715,MR398716,28600,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,506011-8150R-S,ゼクセルコンプレッサー(DKS15CH),,,,MR360896,MR360896,MR360895,MR360896,MR360895,27300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,AKC200A402HR-S,三菱コンプレッサー(MSC105CVS) クラッチ付,,,,MR360264,MR360264,MR233784,AKC201A402G,AKC006A413F,26800,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,AKC200A402LR-S,三菱コンプレッサー(MSC105CVS) クラッチ付,,,,MR360248,MR360248,MR168341,AKC006A411K,AKC006A413B,26800,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,クラッチ配線のカプラーは現車の物をご使用下さい。,,1
コンプレッサー,SD7171R-S,サンデンコンプレッサー,三菱,U61V,ﾐﾆｷｬﾌﾞ,MR338845,MR338845,,,,32300,1年2万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,クラッチ配線のカプラーは現車の物をご使用下さい。,,1
コンプレッサー,SD7171R-F,サンデンコンプレッサー,三菱,U61V,ﾐﾆｷｬﾌﾞ,MR338845,MR338845,,,,36300,1年2万km保証,純正サプライヤー製新品,マグネットクラッチ付　Oリング付　オイル規定量入り,,冷凍車専用コンプレッサー,1
コンプレッサー,AKC200A204GR-S,三菱コンプレッサー(MSC90C) クラッチ付,,,,MR315815,MR315815,MR315851,AKC006A215A,AKC006A216G,26800,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,AKC200A204RR-S,三菱コンプレッサー(MSC90C) クラッチ付,,,,MR315784,MR315784,MR398103,MR315784,MR398103,26800,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,AKC200A204NR-S,三菱コンプレッサー(MSC90C) クラッチ付,,,,MR315784,MR315784,MR398100,MR315784,MR398100,26800,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,AKC200A204BR-S,三菱コンプレッサー(MSC90C) クラッチ付,三菱,CP9A,ﾗﾝｻｰ,MR315784,MR315784,MR315861,MR315784,MR315861,26800,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,AKC200A203CR-S,三菱コンプレッサー(MSC90C) クラッチ付,三菱,CJ4A,ﾐﾗｰｼﾞｭ,MR315268,MR315268,MR360255,MR315268,MR360255,26800,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,AKC200A203AR-S,三菱コンプレッサー(MSC90C) クラッチ付,,,,MR315267,MR315267,MR233479,MR315267,MR233479,26800,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,AKC200A203FR-S,三菱コンプレッサー(MSC90C) クラッチ付,,,,MR233478,MR233478,MR298702,AKC201A203A,AKC006A210S,26800,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,SD7170R-S,サンデンコンプレッサー,,,,MR216258,MR216258,MR216257,MR216258,MR216257,39300,1年2万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,クラッチ配線のカプラーは現車の物をご使用下さい。,冷凍車専用コンプレッサー,1
コンプレッサー,AKC200A601DR-S,三菱コンプレッサー(MSC130CV) クラッチ付,三菱,PE8W,ﾃﾞﾘｶ･ｽﾍﾟｰｽｷﾞｱ,MR206800,MR206800,MR206804,MR206800,MR206804,37300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,AKC200A601CR-S,三菱コンプレッサー(MSC130CV) クラッチ付,,,,MR206800,MR206800,MR206805,MR206800,MR206805,35300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,AKC200A601AR-S,三菱コンプレッサー(MSC130CV) クラッチ付,三菱,PD8W,ﾃﾞﾘｶ･ｽﾍﾟｰｽｷﾞｱ,MR206800,MR206800,MR206803,MR206800,MR206803,37300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,AKC200A601HR-S,三菱コンプレッサー(MSC130CV) クラッチ付,三菱,PD6W,ﾃﾞﾘｶ･ｽﾍﾟｰｽｷﾞｱ,MR206800,MR206800,MR398752,MR206800,MR398752,37300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,AKC200A002AR-S,三菱コンプレッサー(MSC60C) クラッチ付,,,,MR201153,MR201153,MR938868,AKC006A006A,AKC006A007,20800,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,447100-507R,コンプレッサー/クラッチ(R)  10P13C 12V,,,,MR175654,MR175654,MR115636,MR175654,MR115636,29400,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,AKC200A402AR-S,三菱コンプレッサー(MSC105CVS) クラッチ付,,,,MR168350,MR168350,MR168341,AKC006A411K,AKC006A413B,26800,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,AKC200A402BR-S,三菱コンプレッサー(MSC105CVS) クラッチ付,,,,MR168349,MR168349,MR175837,AKC201A402,AKC272C420,26800,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,AKC200A402R-S,三菱コンプレッサー(MSC105CVS) クラッチ付,,,,MR168349,MR168349,MR168340,AKC201A402,AKC272C415,26800,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,AKC200A201AR-S,三菱コンプレッサー(MSC90C) クラッチ付,,,,MR168199,MR168199,MR189419,MR168199,MR189419,26800,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,AKC200A201HR-S,三菱コンプレッサー(MSC90C) クラッチ付,,,,MR168199,MR168199,MR189417,MR168199,MR189417,26800,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,AKC200A201R-S,三菱コンプレッサー(MSC90C) クラッチ付,,,,MR168199,MR168199,MR189240,MR168199,MR189240,26800,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,AKC200A201BR-S,三菱コンプレッサー(MSC90C) クラッチ付,,,,MR168199,MR168199,MR116405,MR168199,MR116405,26800,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,AKC200A201FR-S,三菱コンプレッサー(MSC90C) クラッチ付,三菱,CB2V,ﾘﾍﾞﾛ,MR168199,MR168199,MR168195,MR168199,MR168195,26800,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,AKC200A201CR-S,三菱コンプレッサー(MSC90C) クラッチ付,,,,MR168186,MR168186,,AKC201A201B,AKC272C304A,26800,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,AKC200A201GR-S,三菱コンプレッサー(MSC90C) クラッチ付,,,,MR168186,MR168186,MR360242,AKC201A201B,AKC272C304,26800,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,447100-451R,コンプレッサ-/クラッチ  10PA15VC　12V,三菱,V46WG,ﾊﾟｼﾞｪﾛ,MR149367,MR149367,MR149370,,,29400,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,,1
コンプレッサー,447100-454R,コンプレッサ-/クラッチ  10PA15VC,三菱,V26WG,ﾊﾟｼﾞｪﾛ,MR149366,MR149366,MR149370,,,29400,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,,1
コンプレッサー,447100-452R,コンプレッサー/クラッチ(R) 10PA15C 12V,三菱,V45W,ﾊﾟｼﾞｪﾛ,MR149364,MR149364,MR149368,,,29400,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,447100-372R,コンプレッサー/クラッチ　(R)　10PA17C  12V,,,,MR149343,MR149343,MR117258,MR149343,MR117258,29400,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,,1
コンプレッサー,447100-374R,コンプレッサー/クラッチ(R) 10PA15VC 12V,,,,MR117062,MR117062,MR117259,MR117062,MR117259,29400,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,AKC200A202CR-S,三菱コンプレッサー(MSC90C) クラッチ付,,,,MR116347,MR116347,MR168181,AKC201A202A,AKC006A210H,26800,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,AKC200A202BR-S,三菱コンプレッサー(MSC90C) クラッチ付,,,,MR116284,MR116284,MR116405,AKC201A202,AKC006A210F,26800,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,AKC200A080AR-S,三菱コンプレッサー(MSC60CA) クラッチ付,三菱,Z21A,ｺﾙﾄ,MN164472,MN164472,,,,21800,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,AKC200A085R-S,三菱コンプレッサー(MSC50CAS) クラッチ付,三菱,HA1W,ｱｲ,MN157931,MN157931,,,,26300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,AKA200A220BR-S,三菱コンプレッサー(FXA105VSL4) クラッチ付,,,,MB947762,MB947762,MB939456,MB947762,MB939456,26800,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,AKA200A310R-S,三菱コンプレッサー(AX105VSL) クラッチ付,,,,MB946518,MB946518,MB630393,MB946518,MB630393,26800,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,AKC200A001R-S,三菱コンプレッサー(MSC60C) クラッチ付,三菱,H31A,ﾐﾆｶ,MB938870,MB938870,MB938868,MB938870,MB938868,20800,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,この品番はミニカ用です。　パジェロミニならＡＫＣ２００Ａ００４Ｒ－Ｓです！,純正品番同じですが、ミニカ用とパジェロミニ用とで形が異なるため。,1
コンプレッサー,AKC200A006R-S,三菱コンプレッサー(MSC60C) クラッチ付,三菱,H56A,ﾊﾟｼﾞｪﾛ･ﾐﾆ,MB938870,MB938870,MB938868,MB938870,MR298554,18800,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,この品番はパジェロミニ用です,,1
コンプレッサー,AKC200A004R-S,三菱コンプレッサー(MSC60C) クラッチ付,三菱,H56A,ﾊﾟｼﾞｪﾛ･ﾐﾆ,MB938870,MB938870,MB938868,MB938870,MB938868,18800,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,パジェロミニ　Ｈ５１Ａ　Ｈ５６Ａ用です。　　　ミニカならＡＫＣ２００Ａ００１Ｒ－Ｓです,純正品番同じですが、ミニカ用とパジェロミニ用とで形が異なるため。,1
コンプレッサー,AKA200A503R-S,三菱コンプレッサー(FX50) クラッチ付,三菱,U42V,ﾐﾆｷｬﾌﾞ,MB917734,MB917734,MB879986,AKA201A511,AKA272C510,20800,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,147100-941R,コンプレッサ-/クラッチ  10PA15C,三菱,V24W,ﾊﾟｼﾞｪﾛ,MB878168,MB878168,MB878169,,,29400,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,147100-351R,コンプレッサー/クラッチ　(R)　10P15C  12V　デリカ用,三菱,P25W,ﾃﾞﾘｶ,MB276283,MB276283,MB239982,472008140,473002900,29400,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1
コンプレッサー,N1500AD4R-S,ナショナルコンプレッサー(N1500AD4),ﾏﾂﾀﾞ,KK-BE63CE,MS-8,M020-61-450A,M020-61-450A,,,,24300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1
コンプレッサー,447190-578R,コンプレッサー/クラッチ　(R)　10S17C　12V,ﾏﾂﾀﾞ,LY3P,MPV,L206-61-450A,L206-61-450A,,,,34100,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,,1
コンプレッサー,447180-386R,コンプレッサー/クラッチ　(R)　10S17C  12V,ﾏﾂﾀﾞ,LW3W,MPV,L11661K00,L11661K00,L11661L10,L11661K00,L11661L10,34100,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,,1
コンプレッサー,447170-667R,コンプレッサー/クラッチ　(R)　10S17C  12V,ﾏﾂﾀﾞ,LWEW,MPV,L081-61-K00,L081-61-K00,L081-61-L10,,,34100,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,,1
